Conflict,Century,Year,Location,Allies,Opponent(s),Result for the United States and its Allies,Presidents of the United States,
Kosovo War,20th Century,1998-1999,Serbia ,"KLA, AFRK, Albania, Croatia, United States, Belgium, Canada, Czech Republic, Denmark, France, Germany, Hungary, Italy, Luxembourg, Netherlands, Norway, Portugal, Poland, Spain, Turkey, United Kingdom",FR Yugoslavia,"US-allied victory: Ceasefire reached through Kumanovo Agreement of June 1999 after Russian and Finnish envoys visit Belgrade. Yugoslav forces pull out of Kosovo. UN Resolution 1244 confirming Kosovo as de jure part of FRY. De facto separation of Kosovo from FR Yugoslavia under UN administration. Return of Albanian refugees after attempted ethnic cleansing of Albanians. KLA veterans join the UÇPMB, starting the Preševo insurgency. Around 200,000 Serbs, Romani, and other non-Albanians fleeing Kosovo and many of the remaining civilians becoming victims of abuse. Three Chinese journalists were killed in United States bombing of the Chinese embassy in Belgrade",Bill Clinton,
War in Afghanistan,21st Century,2001-2021,Afghanistan,"Resolute Support Mission, Afghanistan, United States, Canada, United Kingdom, Australia, New Zealand, Croatia, Czech Republic, Denmark, Georgia, Germany, Netherlands, Italy, Romania, Slovakia, Spain, Turkey","Taliban (Haqqani network), Allied groups (Hezb-e-Islami Gulbuddin, al-Qaeda, Islamic Jihad Union - Islamic Movement of Uzbekistan), Taliban splinter groups (Fidai Mahaz), IS-Affiliates:Islamic State - Khorasan Province, 2001 Invasion:Islamic Emirate of Afghanistan, Talibani Army, Salafist extremists, 055 Brigade","Taliban victory: United States invasion of Afghanistan (2001), Destruction ofal-Qaeda and Taliban militant training camps(2001), Fall of theTaliban government(2001) and Establishment of the Islamic Republic of Afghanistan. Start ofTaliban insurgency, Osama bin Laden killed by SEAL Team Six operators in Abbottabad, Pakistan in May 2011, ""Afghanization"" of  Afghan conflict. Withdrawal of most US troops by 2014. End of Operation Enduring Freedom; start of Operation Freedom's Sentinel. End of US and ISAF led combat mission; beginning of NATO-led training and assistance mission. Doha Agreement and progressive withdrawal of remaining US troops after 2020. Renewed Taliban offensive in 2021. Taliban forces capture Kabulon August 15, 2021, and overthrow the U.S.-backed Islamic Republic of Afghanistan. Re-establishment of the Taliban-run Islamic Emirate of Afghanistan. Start of Operation Allies Refuge. On August 30, 2021, the last American military plane departed Afghanistan. Billions of dollars of foreign-origin military hardware that was formerly in custody of the Islamic Republic of Afghanistan seized by Taliban ",,"George W. Bush (October 7, 2001 - January 20, 2009), Barack Obama (January 20, 2009 - January 20, 2017), Donald Trump (January 20, 2017 - January 20, 2021), Joe Biden (January 20, 2021 - Incumbent)"
US intervention in Yemen,21st Century,2002-present,Yemen,"United States, Saudi-led coalition:Saudi Arabia, United Arab Emirates, Bahrain, Kuwait, Qatar, Jordan, Morocco, Sudan, Senegal, Supported by:United States, United Kingdom, In support of:Cabinet of Yemen, Yemen Armed Forces (pro-Hadi), Yemeni Air Force, Popular Resistance",al-Qaeda in the Arabian PeninsulaAnsar al-ShariaIslamic State of Iraq and the Levant - Yemen ProvinceYemenRevolutionary Committee/Supreme Political CouncilHouthi movementYemen Armed ForcesYemeni Republican Guard,Ongoing: 378 drone strikes confirmed. al-Qaeda in the Arabian Peninsula leaders confirmed killed. Numerous al-Qaeda in the Arabian Peninsula bases destroyed. Most recent drone strike against al-Qaeda launched in February 2023. Saudi-led coalition forces intervene in Yemenin 2015 to restore the internationally recognized Yemen government led by President Abdrabbuh Mansur Hadi. United States support the Saudi Arabian-led intervention primarily through arms sales and technical assistance. U.S. Army Special Forces deployed to the Saudi Arabia-Yemen border to help defeat the Houthi rebels in 2018. Missile strikes against Houthi-controlled territory beginning in 2024,,"George W. Bush (October 7, 2001 - January 20, 2009), Barack Obama (January 20, 2009 - January 20, 2017), Donald Trump (January 20, 2017 - January 20, 2021), Joe Biden (January 20, 2021 - Incumbent)"
Iraq War,21st Century,2003-2011,Iraq,"Post-invasion (2003-2011): United States, Iraq, United Kingdom, MNF-I / Invasion phase (2003) - United States, United Kingdom, Australia, Poland, Iraqi Kurdistan, Supported by:Netherlands, Italy, Spain","Post-invasion (2003-2011) - Ba'ath Loyalists, Supreme Command for Jihad and Liberation, Naqshbandi Army, DulaimTribes, Sunni insurgents (al-Qaeda in Iraq, Islamic State of Iraq, Ansar al-Sunnah, Islamic Army of Iraq), Shia insurgents (Mahdi Army, Special Groups, Asa'ib Ahl al-Haq, Invasion phase (2003) - Iraq DulaimTribes, MEK, Ansar al-Islam, Islamic Emirate of Byara","Inconclusive/Other Result: Invasion and occupation of Iraq. Overthrow of Ba'ath Party government. Execution of Saddam Hussein.Emergence of significant insurgency, rise of al-Qaeda in Iraq, and severe sectarian violence. Subsequent reduction in violence and depletion of al-Qaeda in Iraq. Establishment of democratic elections and formation of new Shia-led government. U.S.-Iraq Status of Forces Agreement. Withdrawal of U.S. forces from Iraq in 2011. Stronger Iranian influence in Iraq. Escalation of sectarian insurgency after U.S. withdrawal leading to the rise of the Islamic State of Iraq and the Levant, the successor of al-Qaeda in Iraq. Return of US forces to Iraq in 2014",,"George W. Bush (January 20, 2001 - January 20, 2009), Barack Obama (January 20, 2009 - January 20, 2017)"
US intervention in the War in North-West Pakistan,21st Century,2004-2018,Pakistan,"Pakistan, United States, Supported by: United Kingdom","Jihadists:Taliban, Tehrik-i-Taliban Pakistan, Haqqani network, al-Qaeda, Lashkar-e-Jhangvi, Foreign Mujahideen, Uzbek Islamic Movement, Turkistan Islamic Party, Tehreek-e-Nafaz-e-Shariat-e-Mohammad, iIslamic State of Iraq and the Levant - Khorasan Province","US-allied victory: 430 drone strikes confirmed. 81 high-level insurgent leaders and thousands of low-level insurgents killed. Deaths of Hafiz Saeed Khan, the leader (emir) of ISIS-K, Afghan Taliban head Akhtar Mansour, and successive TPP heads Baitullah Mehsud and Hakimullah Mehsud. Destruction of numerous insurgent camps and safe havens. Large number of insurgents killed while some fled to Afghanistan. Most recent drone strike launched in January 2018",,"George W. Bush (January 20, 2001 - January 20, 2009), Barack Obama (January 20, 2009 - January 20, 2017), Donald Trump (January 20, 2017 - January 20, 2021)"
Second US Intervention in the Somali Civil War,21st Century,2007-present,Somalia and North eastern Kenya,"Somalia, United States, AMISOM (Burundi, Djibouti, Ethiopia, Ghana, Kenya, Nigeria, Sierra Leone, Uganda), Supported by:Italy, Turkey, United Kingdom, Non-combat support: European Union, United Nations","Jihadists:al-Shabaab, Mujahideen, Hizbul Islam, Islamic State in Somalia","Ongoing: Hundreds of drone strikes targeting the terrorist group al-Shabaab. Raids against al-Shabaab militants conducted by U.S. Special Operations Forces. African Union Intervention. U.S. backed Ethiopian invasionin 2006. Kenyan intervention. Newly formed federal government.established in 2012. Power struggle within al-Shabaab. Majority of US Troops withdraw in January 2021. US airstrikes against al-Shabaab in 2022. Redeployment of US troops in Somalia in 2022. Death of Islamic State in Somalia leader, Bilal al-Sudanion January 25, 2023. Approximately 450 U.S. troops remain in Somalia as of June 2023",,"George W. Bush (January 20, 2001 - January 20, 2009), Barack Obama (January 20, 2009 - January 20, 2017), Donald Trump (January 20, 2017 - January 20, 2021), Joe Biden (January 20, 2021 -Incumbent)"
Operation Ocean Shield,21st Century,2009-2016,Indian Ocean,"NATO, Australia, China, Colombia, India, Indonesia, Japan, Malaysia, New Zealand, Oman, Pakistan, Russia, Saudi Arabia, Seychelles, Singapore, Somalia, South Korea, Ukraine",Somali pirates,"US-allied victory: Number of pirate attacks dramatically decreased. The US Office of Naval Intelligence have officially reported that in 2013, only 9 incidents of piracy were reported and that none of them were successfully hijacked. Piracy drops 90%",,"Barack Obama (January 20, 2009 - January 20, 2017)"
International intervention in Libya,21st Century,2011,Libya ,"UNSC Resolution 1973 forces, NATO, Sweden, Jordan, Qatar, United Arab Emirates, Anti-Gaddafi rebels","Libyan Arab Jamahiriya, Remnants of Libyan Arab Jamahiriya (After August 28) - Gaddafi Loyalists, Libyan Armed Forces, Libyan Navy, Libyan Air Force, Paramilitary forces, Pro-Gaddafi militias and tribes, Mercenaries (alleged)","US-allied victory: UN authorisation of NATO led military intervention. Overthrow and collapse of The Great Socialist People's Libyan Arab Jamahiriya. The killing of Muammar Gaddafi and the end of his rule over Libya. Start and continuation of The Libyan crisis. Assumption of interim control by National Transitional Council (NTC); remains in power until August 8, 2012. Diplomatic recognition of NTC as sole governing authority for Libya by 105 countries, UN, EU, AL and AU. Post-civil war violence in Libya leading to the second civil war in 2014. Rise and spread of Madkhalismin Libya",,"Barack Obama(January 20, 2009 - January 20, 2017)"
Operation Observant Compass,21st Century,2011-2017,Uganda ,"United States, Uganda, DR Congo, Central African Republic, South Sudan",Lord's Resistance Army,"US-allied victory: Founder and leader of the LRA Joseph Rao Kony goes into hiding. Senior LRA commander Dominic Ongwen surrenders to American forces in the Central African Republic and is tried in The Hague. Majority of LRA installations and encampments located in South Sudan and Uganda abandoned and dismantled. Small scale LRA activity continues in eastern DR Congo, and the Central African Republic",,"Barack Obama(January 20, 2009 - January 20, 2017)"
US military intervention in Niger,21st Century,2013-2024,Niger ,"United States, Supported by:Niger, France","Jihadists: Al-Qaeda, Nusrat al-Islam, Islamic State of Iraq and Syria, Islamic State - West Africa Province, Islamic State in the Greater Sahara, Boko Haram(partially aligned with, ISIL since 2015)","Jihadists victory: The Niger military overthrows the government in the 2023 Nigerien coup d'état. Niger's junta ended a military agreement that allowed US troops to be deployed in the country. US lost access to Niger Air Base 201, largest drone base in Africa built by the United States for $110 million. Beginning of new military cooperation between Niger and Russia. Jihadi groups linked to al-Qaida, the Islamic State group and Boko Haram remain still active in Niger.",,"Barack Obama (January 20, 2009 - January 20, 2017), Donald Trump (January 20, 2017 - January 20, 2021), Joe Biden (January 20, 2021 -Incumbent)"
